Name,Latitude,Longitude,Nearest_bus_stop_Distance,Nearest_train_station_Distance,Nearest_restaurant_Distance,Nearest_cafe_Distance,Nearest_supermarket_Distance,Nearest_park_Distance,Nearest_hospital_Distance,Nearest_pharmacy_Distance,Nearest_police_station_Distance,Nearest_fire_station_Distance,Nearest_school_Distance,Nearest_university_Distance,Nearest_library_Distance,Nearest_shopping_mall_Distance,Nearest_movie_theater_Distance,Nearest_museum_Distance,Optimality
Jawaharlal Nehru University,28.5398035,77.1664047,2.9,6.3,9.2,27.3,25.7,7.3,22.5,26.5,45.5,28.5,5.8,43.1,13.8,23.7,23.5,14.7,Not Optimal
Banaras Hindu University,25.2677203,82.9912582,1.9,5.6,3.1,7.3,23.2,10.2,4.6,5.4,6.2,6.9,12.4,7.5,9,7.5,10.2,2.1,Not Optimal
University of Hyderabad,17.456737,78.3263876,41.6,6,5,7.8,23.3,21,19.9,22.4,20.1,12,7.6,26.6,25.7,19.3,18.7,21.2,Not Optimal
Calcutta University,22.5750862,88.3629188,2.8,1.9,2.2,6.3,6,13.9,6.2,8.6,44.7,12.2,2.2,7.4,6.4,4.8,7,4.7,Optimal
Jadavpur University,22.4988822,88.3714123,11.8,3.2,8.2,13.6,12,20,13.9,14.1,11.2,3.8,11.5,3.8,6.8,4.8,3.5,7.5,Optimal
Anna University,13.0109556,80.2353524,10.9,3.1,5.4,5.8,11.3,1.3,6.8,4.1,14.3,8.9,6.8,29.2,6.6,4.8,5.2,8.2,Optimal
Arita Vishwa Vidyapeetha,10.9037905,76.8983517,21,54.5,34.7,25.2,35.4,19.4,20,19.8,34.5,19.1,23.5,28.2,26.5,35.4,20.9,27.3,Not Optimal
manipal Acadey of Higher Education,13.3533433,74.7848955,0.7,3.6,0.8,1.4,5.7,43.2,1.1,5.6,6.1,7.1,59.3,1,1.1,0.9,1.2,1.6,Optimal
Savitribai Phule Pune University,18.5529684,73.8265425,7.3,6.8,6.7,8.7,14,16.8,7.1,6.8,8,7.4,2.5,15.3,16.4,2.6,2.2,33,Not Optimal
Aligarh usli University,27.9135016,78.0781901,2.5,3.1,3.1,48.7,1.6,0.4,4.2,26.3,3.3,26.4,43.2,1,0.4,1.5,6.5,0.7,Not Optimal
Jaia illia Islaia,28.5615344,77.280143,6.7,5.8,10.2,25.8,10.7,14.4,33.2,11.5,30.4,14.7,4.5,28.1,10.5,19.1,18.9,7.9,Not Optimal
University of Delhi,28.5842824,77.1638519,3.9,10.2,2.7,21.5,26,12.2,27.2,26.9,45.8,22.3,8.4,43.4,10.1,20.8,20.6,11.9,Not Optimal
Bharathiar University,11.0390221,76.87642,11.4,36.2,58.1,86.2,84,13.1,13.8,12.4,57.9,12.4,22.1,1.9,83.9,58.8,11.2,19.1,Not Optimal
Institute of Cheical Technology,19.0237512,72.8574443,5,9.5,9.7,13.2,11.2,67.8,47,10.2,10.1,9,8.4,48.4,8.3,8.4,4.1,12,Not Optimal
Andhra University,17.7259095,83.3244216,2.1,4.5,2.9,2.4,3.3,3.1,2.4,14.4,11.5,5.2,2.2,0.9,4.4,2.6,1.5,11.3,Optimal
Hoi Bhabha National Institute,19.0338061,72.9260079,9.9,16.5,8.3,25.2,17.4,75.7,46.5,22.4,11.1,7.5,7.6,55.8,12.8,11.4,13.5,24,Not Optimal
Jaia Hadard,28.5154778,77.2504898,3.7,5.4,9.6,30.9,17.7,6.6,26.4,18.6,37.5,19.8,11.3,35.1,15.6,24.2,24,13,Not Optimal
Vellore Institute of Technology,12.9692232,79.1559336,7.3,2.3,7,3,8.9,0.1,15.5,7.9,12.8,8.4,51.1,11.6,13.1,3.7,7.6,8.5,Not Optimal
University of adras,13.0660293,80.2831719,11.5,11.5,5.6,4.8,3.4,9.8,15,5.9,5.6,5.2,15.2,34.2,3.5,7,10.4,3.5,Not Optimal
Panjab University,30.7606188,76.7653924,3.9,36.2,9,30.3,11.5,21.6,2.1,6,5.8,7.7,5.3,0.8,8.8,5.6,5.6,5,Optimal
Kerala University,8.5032375,76.9473306,22.4,41.2,1.4,4,6.5,2.2,20.4,1.5,7.6,35.9,25.6,7.7,4.2,9.3,2.3,20,Not Optimal
Birla Institute of Technology & Science,28.3591259,75.5881638,1,24.9,0.7,0.7,12.5,36.1,3,3,15.6,0.9,3.1,1,16.7,37.2,1.7,0.8,Optimal
Siksha `O` Anusandhan,20.2589969,85.7919803,13.1,52.2,6.7,7.2,1.5,8.2,13.1,10.4,7.5,30.6,48.6,14.6,7.6,6.4,8.1,6.2,Not Optimal
King George`s edical University,26.8677163,80.916626,6.2,2.1,12.4,4.4,4.4,11.8,16.5,6.7,5.4,3.9,4.4,2.9,10.1,9,8.7,4.8,Not Optimal
Thapar Institute of Engineering and Technology (Deeed-to-be-university),30.3564242,76.3647012,12.7,21.3,6,3.4,6.8,4.9,51.3,31.3,7.1,6.4,7,12.2,6,49.3,26.4,4.9,Not Optimal
Tezpur University,26.7002961,92.8307601,0.2,24.6,12.2,12.2,51.1,12.3,50.6,11.2,4.3,53.3,42.8,10.2,10.8,9.7,53.9,6.9,Not Optimal
ahata Gandhi University,9.6598707,76.5309339,20.8,3.4,44.3,59.7,10.4,46.9,13.8,12.7,11.1,27.8,35.6,47.6,26.7,26,27,57.5,Not Optimal
Kalinga Institute of Industrial Technology,20.3555462,85.8161006,0.6,3.4,6.9,11.3,16.3,9.9,2,7.9,9.1,29.3,48.8,23.3,11.1,7.3,10.8,12.4,Not Optimal
SR Institute of Science and Technology,12.823033,80.044416,37.3,22.9,35.3,36.6,42.1,32.6,30,35.4,45.1,19.5,29.9,30.5,37.3,33.9,30.7,31.6,Not Optimal
Sri Raachandra Institute of Higher Education and Research,13.0407012,80.1428688,9.7,12.6,12.5,12.8,18.1,12.8,5.8,14.2,21.5,13.4,14.3,18,13.9,11,8.2,15.4,Not Optimal
JSS Acadey of Higher Education and Research,12.3438636,76.6540351,4.4,55.5,15.5,3.4,4.6,15.4,9,5.3,6.1,94,7.3,7.2,3.8,5.6,5.6,4.8,Optimal
Tata Institute of Social Sciences,19.0446964,72.912484,10.6,17.1,17.2,27,18.1,76.4,47.1,24.3,12.9,9.4,8.3,56.4,13.4,12,14.1,25.8,Not Optimal
Visva Bharati,23.6808103,87.6826955,2.3,1.8,1.9,1.8,48.9,4.9,38.3,7.4,32.8,1.8,24.4,49.6,0.9,4.9,2.1,0.5,Not Optimal
G. B. Pant Universtiy of Agriculture and Technology,29.0228625,79.4879531,26,9.4,58.2,10.6,12.4,68.5,14.1,25.5,25.9,11.7,28.3,56.6,34.7,1,12.4,47.4,Not Optimal
North Eastern Hill University,25.6120984,91.8977131,4.7,-1,5.5,3.1,4.5,36.8,6.6,5.5,5.4,49.7,6.6,69,0.3,5.4,5.4,3.5,Optimal
Shanugha Arts Science Technology & Research Acadey,10.7285131,79.0184111,5.3,8.7,40.9,0.4,15.5,30.5,14.8,31.6,21.3,41.8,35.5,40.8,9.7,41.4,40.9,21.9,Not Optimal
Sathyabaa Institute of Science and Technology,12.8728809,80.2260766,27.6,17.9,18.1,22,26,16.8,21.7,18.7,29.2,25.2,14.4,37.2,22.2,21,21.6,24.4,Not Optimal
Gauhati University,26.1540389,91.6629668,1,11.5,10.4,12.1,10.5,14.7,29.4,10.9,12.7,16.9,46.8,26.9,3,10.2,13.1,4.8,Not Optimal
Saveetha Institute of edical and Technical Sciences,13.0282708,80.0157633,23.4,22.3,22.6,27.5,31.8,27.5,20.4,28.9,35.2,27.1,28.8,3.7,28.6,25.7,22.9,29.5,Not Optimal
Tail Nadu Agricultural University,11.0151861,76.9326167,4.4,36.5,52.3,9.9,53,6.1,6.8,5.4,52.1,5.4,15.1,7.7,14.6,53,4.2,12.1,Not Optimal
adurai Karaj University,9.9403922,78.0105374,11.5,12.7,12.7,13.5,16.5,50.5,12.2,13.3,16.4,13.5,11.8,46.6,12.9,13.1,15.7,13.5,Not Optimal
Dr. D. Y. Patil Vidyapeeth,18.6245648,73.8222427,17.3,7.8,10.3,14,23.1,11.8,14.9,14.2,18,17.4,12.6,20,24.3,12,11.5,40.7,Not Optimal
Delhi Technological University,28.7494933,77.1183612,2,5.6,5.2,5.2,37.1,35.6,42.9,38.6,34.8,4,8.9,19.8,20,30.2,30,23.7,Not Optimal
Pondicherry University,12.0182619,79.8568461,11.8,47.8,10.9,10.9,10,12.1,14.8,39.8,12,11.5,11.2,0.8,10.4,10.2,32.9,10,Not Optimal
Sri Venkateswara University,13.6263751,79.3985692,39.6,3.3,4,11.6,1.9,75,3.5,1.4,12,1.6,39.7,39.7,3.9,3,3.2,2.7,Not Optimal
Koneru Lakshaiah Education Foundation University (K L College of Engineering),16.4419257,80.6225946,7.8,10.8,13.7,13.8,7.8,11.7,16.3,13,22.3,8.1,50.1,16.3,0.1,15.1,11.7,10.7,Not Optimal
Punjab Agricultural University,30.9041,75.8065531,56.7,5.1,5,2,5.5,10.3,26.6,54,4.5,5.3,6,7.8,3.5,7.5,2.5,7.8,Not Optimal
University of Kashir,34.1279625,74.8365172,0.2,16.7,44,7.5,7.6,8.2,10.5,4.6,14.4,4.5,2.8,1,0.7,8.7,5.4,3.7,Optimal
ysore University,12.3081068,76.639015,1.8,55.4,18,2.9,6.3,17.9,7.6,1.3,1.6,5.4,3,2.5,2,3.5,2.4,1.6,Optimal
Guru Nanak Dev University,31.6340139,74.8259034,7.1,4.6,5.2,5.2,5.9,6.2,41.8,49.1,8.8,3.4,49,50.3,0.2,7.2,46.1,5.8,Not Optimal
SV`s Narsee onjee Institute of anageent Studies,19.1033037,72.8365988,7,1.3,2.3,22.1,2.6,74.4,37.5,18.5,15.2,15.9,10.4,54.5,5.6,8.8,11.8,20.9,Not Optimal
Birla Institute of Technology,23.412305,85.439901,13,30.5,13.8,0.6,15.8,7.9,10.2,16.4,15.5,17.6,22.2,1,15.7,15.8,15,11.4,Not Optimal
Bharathidasan University,10.6779085,78.7445488,52.4,4.4,16.5,16.8,12.2,16.7,13.4,9.6,17.6,17,15.6,13.9,18.5,16.4,16.7,40.5,Not Optimal
Banasthali Vidyapith,26.4035445,75.8745201,12.2,8.4,56.4,42.5,49.8,47,51.1,28.5,27.1,36,37.4,51.1,0.5,10.3,56.3,49.6,Not Optimal
Bharati Vidyapeeth,18.5122484,73.8433307,2.2,4.2,15.3,6.4,8.8,21.2,4.9,1.6,5,3.9,5.4,18.2,12,2.9,3.4,28.7,Optimal
Chaudhary Charan Singh Haryana Agricultural University,29.1503508,75.7057018,8.6,2.4,3.2,3.7,5.4,1.5,2.7,2.2,4,3.8,18.3,1,0.5,2.3,2.3,1.5,Optimal
Calicut University,11.1340267,75.8952354,3.3,36.5,10.7,21.5,36.6,70.4,10,18.9,21.1,30.3,19.2,45.9,22.9,28.4,50,24.8,Not Optimal
Cochin University of Science and Technology,10.0430525,76.3242906,12.6,10.5,14.7,15.9,12.5,51.6,54.8,16,38.1,15.2,46.8,17.2,45.3,43.2,42.6,15,Not Optimal
Guru Gobind Singh Indraprastha University,28.5946224,77.0214058,11,15.4,12.1,22.9,42.4,27.4,21.3,43.3,13.1,21.4,19.3,25.1,25.4,36.5,36.3,27.5,Not Optimal
Anand Agricultural University,22.5358802,72.9748657,37.1,46.7,37.2,36.8,36.4,18.6,40.1,22.1,6.6,3.9,37,37.5,7.4,34.9,36.5,8.9,Not Optimal
KLE Acadey of Higher Education and Research,15.8843279,74.5178527,2.3,3.8,2.3,0.3,1,56.6,43.5,1.4,2.7,5.3,0.5,6.2,0.4,4.7,3.3,1.1,Not Optimal
Tail Nadu Veterinary & Anial Sciences University,11.1271225,78.6568942,8.3,34.6,43.5,29.9,28.4,47.6,28.2,39.6,29.4,40.3,8.6,45.5,39.5,43.7,43.2,51.8,Not Optimal
Sri Balaji Vidyapeeth ahata Gandhi edical College Capus,11.8120031,79.7780917,14.7,38.5,15.6,15.6,8.7,21.5,16.4,15.2,16.8,15.1,15.8,24.7,16.4,16.2,7.9,16.1,Not Optimal
Kuvepu University,13.7315562,75.6307619,17,19.9,27.1,26.8,27.1,38.2,41.7,26.8,25.6,14.9,15.1,0.5,41.4,21.3,26.9,0.5,Not Optimal
University of Jau,32.7188024,74.8679707,2.2,2.4,41,1.9,3.7,2.8,59.6,2.7,4.2,62.2,42.6,0.9,0.9,3.7,3.9,3.8,Not Optimal
The Gandhigra Rural Institute,10.2793232,77.9345987,10.6,52.6,52.5,15.6,14,8.2,15.1,13.9,14.3,26.4,36.4,1,14.7,52.9,55,53.2,Not Optimal
izora University,23.7364942,92.6642456,8.4,-1,9.3,9.2,9.7,12.9,14.9,12.4,8.3,9.4,14,11.4,11.7,63.8,12.3,9.4,Optimal
Dayalbagh Educational Institute,27.2289041,78.0142209,8.7,37.9,10.1,10.8,3.9,8.6,6.1,6.2,5.9,6.9,15.4,53.3,5.8,3.9,8.4,53,Not Optimal
Sri Venkateswara Institute of edical Sciences,13.6379378,79.4039118,39.5,3.4,3.9,13.8,3,74.9,2.9,2,11.9,2,39.5,39.5,1.9,2.3,2.4,1.4,Not Optimal
Professor Jayashankar Telangana State Agricultural University,17.3225966,78.4172403,34.8,11.7,20.2,18.6,13.9,6.6,12.8,20,10.7,16.4,19.5,18.9,27.8,12.1,14.4,9,Not Optimal
Dr. Y. S. Parar University of Horticulture and Forestry,30.8652881,77.1697682,54.5,13.3,53.9,72.2,12.2,53.9,69.9,47.5,67.8,78.1,75,37.8,72.1,75,75,14.1,Not Optimal
ubai University,18.9294242,72.8309786,15.1,20.5,21,1.9,22.5,64.7,5,2.2,18,17,20.7,45.2,19.5,20.7,14.7,0.9,Not Optimal
International Institute of Inforation Technology Hyderabad,17.4448649,78.3498138,38.8,7.5,1.6,5.5,19.9,17.6,16.5,20,16.7,8.7,5.2,23.1,24,15.9,15.4,17.8,Not Optimal
University of Agricultural Sciences,13.0780987,77.5792407,13.8,16.7,12.3,15.6,34.8,17.1,36.1,12.7,15.8,19.5,24.8,16.7,8.7,18.6,15,10.3,Not Optimal
Gandhi Institute of Technology and anageent,17.7816493,83.37746,11.4,7.8,12.1,8.2,10.2,7.9,11.2,24.7,19.3,14.9,11.5,10.3,14.2,11.8,9.7,19,Not Optimal
Dr. Babasaheb Abedkar arathwada University,19.9007065,75.3115864,3.1,5.9,5,3.6,3.8,16.3,5.5,3.2,13.5,5,5.9,1.8,0.9,6.7,7.2,0.6,Optimal
Dibrugarh University,27.4494916,94.8978563,5.5,5.3,49.3,6.8,3.2,0.4,7.8,4.3,5.7,5.2,36.2,34.1,0.6,4.4,4.4,0.4,Not Optimal
angalore University,12.814252,74.9232613,1.4,30.7,35.2,16,4.5,15,35,44.7,15.6,18.1,28.1,32,42.8,17.3,15.7,17.2,Not Optimal
Padashree Dr. D. Y. Patil Vidyapeeth,18.6245648,73.8222427,17.3,7.8,10.3,14,23.1,11.8,14.9,14.2,18,17.4,12.6,20,24.3,12,11.5,40.7,Not Optimal
The University of Burdwan,23.2392585,87.8511835,5,40,6.2,4.3,28,2,1,0.3,28.6,21.2,40.7,1,14.3,0.4,2,0.2,Not Optimal
aharshi Dayanand University,28.8769643,76.6210539,49.3,3.9,2.7,2.3,3.6,3.7,1.6,46.8,47.8,3.9,4.9,9,2.4,5.6,2.8,0.5,Not Optimal
Kalyani University,22.9864029,88.4455746,40.6,36.2,1.3,51,47.3,51.6,49.4,41,7,20.9,15.3,47.8,1.8,52.4,47.8,19.6,Not Optimal
Karunya Institute of Technology and Sciences,10.936164,76.744061,28.7,56.4,67,33.7,67.7,27.9,87.2,28.3,66.8,27.6,37,22.8,67,67.7,28.5,35.9,Not Optimal
anonania Sundaranar University,8.7636783,77.6486139,5.9,7,52.9,14,13.8,26.9,11.8,11.9,12.9,13.4,35.6,1,15.3,6.5,7.4,42.2,Not Optimal
Goa University,15.4587767,73.8342248,7.2,21,19.6,23.9,20.2,27.3,27.4,6.8,26.8,26.2,50.4,20.3,38.2,29.8,6.5,25.7,Not Optimal
Central University of Punjab,30.1359113,74.789514,21.5,19.6,21.8,21.8,20.7,24.4,33.8,20.1,19.8,20,12.6,16.4,20.1,28.2,32.8,15,Not Optimal
Assa University,24.6849545,92.7511682,20.9,25.6,11.7,19.4,19.5,28.9,15.4,8.9,18.3,20.7,21.5,12.3,26.4,19.5,19.1,1.3,Not Optimal
Kurukshetra University,29.9555953,76.8194516,2.3,4.9,40.4,1.8,24.3,38.6,4,9.7,37.6,6.3,11.4,48.5,6.3,23.9,38.7,3,Not Optimal
Rajiv Gandhi University,27.1499677,93.7672772,23.1,5.6,12.1,2.8,20.8,27.4,37.2,26.2,11.9,11.9,27,25.3,5.4,42.1,22.3,0.6,Not Optimal
eenakshi Acadey of Higher Education and Research,13.0425373,80.188577,4.6,7.3,6.7,7.6,13.4,9.1,3.6,8.8,16.5,8.7,12,23.5,8.7,5.2,3.4,10.1,Optimal
Indian Institute of Science,13.0143881,77.567716,4.9,8,5.5,8.8,27.7,8.8,28.9,5.2,9,11.4,21,8.4,3.9,16.6,7.8,3.5,Not Optimal
